RootName,SBE_Utterance,NeutralDistinct,AAVE_Utterance,Gesture,args,aae_args,SBE_wav_name,SBE_wav,AAVE_wav_name,AAVE_wav,NeutralDistinct,Notes_AAVEFeatures,Notes_Phono,Notes for recording,TaskIntro,On-Task,Monologue,Monologue Order,Feedback: test,AT: test,Social: test,Task Intro: test,Prepping for presentation: test,Science Monologue: test,Social Talk: test,Accountable Talk: test,On-task Sentences: test,Dialect Use: test
RD12,Do you think it's better for it to have more room to roll though?,,,RD12v,"start=""sp1:start"" end=""sp1:start+3.2""/><face type='FACS' au='4' amount='.3' stroke='sp1:start' end='sp1:start+.7'/><face type='FACS' au='45' amount='.2' stroke='sp1:start' end='sp1:start+.7'/><face type='FACS' au='2' amount='.3' stroke='sp1:start+2.1' end='sp1:start+2.8'",,RD12-s.wav,,RD12-v.wav,,,,,,,1,,,,,,,,,,,,
RD13,Do you think it's better if we pick the smaller ball or the heavier one?,,,RD13v,"start=""sp1:start"" end=""sp1:start+4.1""/><face type='FACS' au='4' amount='.3' stroke='sp1:start+2' end='sp1:start+2.8'/><face type='FACS' au='45' amount='.2' stroke='sp1:start+2' end='sp1:start+2.8'/><face type='FACS' au='2' amount='.3' stroke='sp1:start+3.1' end='sp1:start+3.9'",,RD13-s.wav,,RD13-v.wav,,,,,,,1,,,,,,,,,,,,
RD14,Do you think it's gonna be faster with a golf ball or a tennis one?,,,RD14v,"start=""sp1:start"" end=""sp1:start+4.75""/><face type='FACS' au='4' amount='.3' stroke='sp1:start+1.5' end='sp1:start+2.8'/><face type='FACS' au='45' amount='.2' stroke='sp1:start+1.5' end='sp1:start+2.8'/><face type='FACS' au='2' amount='.3' stroke='sp1:start+3.7' end='sp1:start+4.5'",,RD14-s.wav,,RD14-v.wav,,,,,,1,1,,,,,,,,,,,,
RD15,do you think that's gonna make it go slower?,,,RD15v,"start=""sp1:start"" end=""sp1:start+2.3""/><face type='FACS' au='4' amount='.3' stroke='sp1:start' end='sp1:start+1.2'/><face type='FACS' au='45' amount='.2' stroke='sp1:start' end='sp1:start+1.2'",,RD15-s.wav,,RD15-v.wav,,,,,,,1,,,,,,,,,,,,
RD16,Do you think the bigger things are gonna be able to roll faster?,,,RD16v,"start=""sp1:start"" end=""sp1:start+3.3""",,RD16-s.wav,,RD16-v.wav,,,,,,,1,,,,,,,,,,,,
RD17,do you think the fuzz slows it down?,,,RD17v,"start=""sp1:start"" end=""sp1:start+2.1""/><face type='FACS' au='4' amount='.3' stroke='sp1:start' end='sp1:start+1.1'/><face type='FACS' au='45' amount='.2' stroke='sp1:start' end='sp1:start+1.1'/><face type='FACS' au='2' amount='.3' stroke='sp1:start+1.3' end='sp1:start+1.85'",/><face type='FACS' au='4' amount='.3' stroke='sp1:start' end='sp1:start+1.1'/><face type='FACS' au='45' amount='.2' stroke='sp1:start' end='sp1:start+1.1'/><face type='FACS' au='2' amount='.3' stroke='sp1:start+1.3' end='sp1:start+1.85',RD17-s.wav,,RD17-v.wav,,,,,,,1,,,,,,,,,,,,
RD18,do you think the tennis ball's  bounciness will make it go faster? Or  slower?,,do you think the tennis ball  bounciness will make it go faster? Or  slower?,RD18v,"start=""sp1:start"" end=""sp1:start+3.6""/><face type='FACS' au='4' amount='.3' stroke='sp1:start' end='sp1:start+1.1'/><face type='FACS' au='45' amount='.2' stroke='sp1:start' end='sp1:start+1.1'",,RD18-s.wav,,RD18-v.wav,,,poss,,,1,1,,,,,,,,,,,,
RD19,I guess we should probably just pick one,n,,RD19v,"start=""sp1:start"" end=""sp1:start+3.6""",,RD19-s.wav,,RD19-v.wav,,n,,,,1,1,,,,,,,,,,,,
RD20,I think heavier is better because it gets pulled down more,,I think heavier better because it get pulled down more,RD20v,"start=""sp1:start"" end=""sp1:start+3.6""/><face type='FACS' au='2' amount='.3' stroke='sp1:start+2.1' end='sp1:start+3.5'",/><face type='FACS' au='2' amount='.3' stroke='sp1:start+2.1' end='sp1:start+3',RD20-s.wav,,RD20-v.wav,,,copula; verbalS,,,,1,,,,,,,,,,,,
RD21,I think it's already low and  short,,,RD21v,"start=""sp1:start"" end=""sp1:start+3.4""/><face type='FACS' au='2' amount='.3' stroke='sp1:start+1' end='sp1:start+2.5'/><face type='FACS' au='4' amount='.3' stroke='sp1:start+0' end='sp1:start+.7'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+0' end='sp1:start+.7'",/><face type='FACS' au='2' amount='.3' stroke='sp1:start+1' end='sp1:start+2.5'/><face type='FACS' au='4' amount='.3' stroke='sp1:start+0' end='sp1:start+.7'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+0' end='sp1:start+.7',RD21-s.wav,,RD21-v.wav,,,,,,1,1,,,,,,,,,,,,
RD22,"I think like the faster it goes, the farther it's gonna go",,"I think like the faster it go, the more farther  it's gon' go",RD22v,"start=""sp1:start"" end=""sp1:start+4.2""/><face type='FACS' au='4' amount='.3' stroke='sp1:start+0' end='sp1:start+1.7'/><face type='FACS' au='45' amount='.2' stroke='sp1:start+0' end='sp1:start+1.7'",/><face type='FACS' au='4' amount='.3' stroke='sp1:start+0' end='sp1:start+1.5'/><face type='FACS' au='45' amount='.2' stroke='sp1:start+0' end='sp1:start+1.5',RD22-s.wav,,RD22-v.wav,,,verbalS; doubleComp;,gon',,,1,,,,,,,,,,,,
RD23,"I think the golf ball is heavy, and pretty hard",,"I think the golf ball heavy, and pretty hard",RD23v,"start=""sp1:start"" end=""sp1:start+4.3""/><face type='FACS' au='2' amount='.3' stroke='sp1:start+1.2' end='sp1:start+2'/><face type='FACS' au='2' amount='.2' stroke='sp1:start+3' end='sp1:start+3.9'",/><face type='FACS' au='2' amount='.3' stroke='sp1:start+1.5' end='sp1:start+2.1'/><face type='FACS' au='2' amount='.2' stroke='sp1:start+3.4' end='sp1:start+4.3',RD23-s.wav,,RD23-v.wav,,,copula,,,,1,,,,,,,,,,,,
RD24,I think the tennis one is heavier,,I think the tennis one heavier,RD24v,"start=""sp1:start"" end=""sp1:start+1.8""/><face type='FACS' au='4' amount='.3' stroke='sp1:start+0' end='sp1:start+.9'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+0' end='sp1:start+.9'",/><face type='FACS' au='4' amount='.3' stroke='sp1:start+0' end='sp1:start+.9'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+0' end='sp1:start+.9',RD24-s.wav,,RD24-v.wav,,,copula,,,,1,,,,,,,,,,,,
RD25,I wonder if it's better to keep one end um the high up way  Or make it low?,,,RD25v,"start=""sp1:start"" end=""sp1:start+6.4""/><face type='FACS' au='4' amount='.3' stroke='sp1:start+1.8' end='sp1:start+3.6'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+1.8' end='sp1:start+3.6'/><face type='FACS' au='2' amount='.3' stroke='sp1:start+5.5' end='sp1:start+6'",/><face type='FACS' au='4' amount='.3' stroke='sp1:start+1.8' end='sp1:start+3.6'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+1.8' end='sp1:start+3.6'/><face type='FACS' au='2' amount='.3' stroke='sp1:start+5.5' end='sp1:start+6',RD25-s.wav,,RD25-v.wav,,,,,,,1,,,,,,,,,,,,
RD26,I wonder if that fuzz slows it down ,,do you think the fuzz gon' get in the way?,RD26v,"start=""sp1:start"" end=""sp1:start+2.9""/><face type='FACS' au='4' amount='.3' stroke='sp1:start+0' end='sp1:start+1.4'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+0' end='sp1:start+1.4'",/><face type='FACS' au='4' amount='.3' stroke='sp1:start+0' end='sp1:start+1.4'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+0' end='sp1:start+1.4',RD26-s.wav,,RD26-v.wav,,,copula; ,gon',,,1,,,,,,,,,,,,
RD27,"I wonder if the ball goes heavier if it's faster because it has more, um  gravity on it",,,RD27v,"start=""sp1:start"" end=""sp1:start+6.3""/><face type='FACS' au='4' amount='.3' stroke='sp1:start+2.9' end='sp1:start+4.8'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+2.9' end='sp1:start+4.8'/><face type='FACS' au='2' amount='.2' stroke='sp1:start+5' end='sp1:start+6.2'/><face type='FACS' au='4' amount='.3' stroke='sp1:start+0' end='sp1:start+.6'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+0' end='sp1:start+.6'",/><face type='FACS' au='4' amount='.3' stroke='sp1:start+2.9' end='sp1:start+4.8'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+2.9' end='sp1:start+4.8'/><face type='FACS' au='2' amount='.2' stroke='sp1:start+5' end='sp1:start+6.2'/><face type='FACS' au='4' amount='.3' stroke='sp1:start+0' end='sp1:start+.6'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+0' end='sp1:start+.6',RD27-s.wav,,RD27-v.wav,,,,,,,1,,,,,,,,,,,,
RD28,I wonder if the heavier or lighter ball goes faster ,,,RD28v,"start=""sp1:start"" end=""sp1:start+3.2""/><face type='FACS' au='2' amount='.3' stroke='sp1:start+.7' end='sp1:start+1.9'",/><face type='FACS' au='2' amount='.3' stroke='sp1:start+.7' end='sp1:start+1.9',RD28-s.wav,,RD28-v.wav,,,,,,,1,,,,,,,,,,,,
RD29,I wonder if we should do tennis ball or golf ball ,d,,RD29v,"start=""sp1:start"" end=""sp1:start+5.6""/><face type='FACS' au='4' amount='.3' stroke='sp1:start+0' end='sp1:start+1.9'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+0' end='sp1:start+1.9'/><face type='FACS' au='2' amount='.3' stroke='sp1:start+2.8' end='sp1:start+4'",/><face type='FACS' au='4' amount='.3' stroke='sp1:start+0' end='sp1:start+1.9'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+0' end='sp1:start+1.9'/><face type='FACS' au='2' amount='.3' stroke='sp1:start+2.8' end='sp1:start+4',RD29-s.wav,,RD29-v.wav,,d,,,,1,1,,,,,,,,,,,,
RD30,I wonder if we want to keep it long? Or make it shorter ,,,RD30v,"start=""sp1:start"" end=""sp1:start+4.3""/><face type='FACS' au='2' amount='.3' stroke='sp1:start+1.4' end='sp1:start+2.3'/><face type='FACS' au='4' amount='.3' stroke='sp1:start+3.4' end='sp1:start+4'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+3.4' end='sp1:start+4'",/><face type='FACS' au='2' amount='.3' stroke='sp1:start+1.4' end='sp1:start+2.3'/><face type='FACS' au='4' amount='.3' stroke='sp1:start+3.4' end='sp1:start+4'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+3.4' end='sp1:start+4',RD30-s.wav,,RD30-v.wav,,,,,,1,1,,,,,,,,,,,,
RD31,If it's bigger then it won't have as much room to roll,,If it's bigger then it ain't gon' have as much room to roll,RD31v,"start=""sp1:start"" end=""sp1:start+4.15""/><face type='FACS' au='2' amount='.3' stroke='sp1:start+.5' end='sp1:start+1.1'/><face type='FACS' au='4' amount='.3' stroke='sp1:start+1.8' end='sp1:start+2.7'/><face type='FACS' au='45' amount='1' stroke='sp1:start+1.8' end='sp1:start+2.7'",/><face type='FACS' au='2' amount='.3' stroke='sp1:start+.4' end='sp1:start+1.1'/><face type='FACS' au='4' amount='.3' stroke='sp1:start+1.3' end='sp1:start+1.8'/><face type='FACS' au='45' amount='1' stroke='sp1:start+1.3' end='sp1:start+1.8',RD31-s.wav,,RD31-v.wav,,,ain't,gon',,,1,,,,,,,,,,,,
RD32,if it's lower then it probably isn't going to crash at the bottom,,,RD32v,"start=""sp1:start"" end=""sp1:start+4""/><face type='FACS' au='4' amount='.3' stroke='sp1:start+1.4' end='sp1:start+2.2'/><face type='FACS' au='45' amount='1' stroke='sp1:start+1.4' end='sp1:start+2.2'/><face type='FACS' au='2' amount='.3' stroke='sp1:start+2.8' end='sp1:start+3.5'",/><face type='FACS' au='4' amount='.3' stroke='sp1:start+1.4' end='sp1:start+2.2'/><face type='FACS' au='45' amount='1' stroke='sp1:start+1.4' end='sp1:start+2.2'/><face type='FACS' au='2' amount='.3' stroke='sp1:start+2.8' end='sp1:start+3.5',RD32-s.wav,,RD32-v.wav,,,,,,,1,,,,,,,,,,,,
RD33,"If it's short, then the ball doesn't have as much space to move",,,RD33v,"start=""sp1:start"" end=""sp1:start+3.6""/><face type='FACS' au='4' amount='.3' stroke='sp1:start+1.2' end='sp1:start+1.6'/><face type='FACS' au='45' amount='1' stroke='sp1:start+1.2' end='sp1:start+1.6'/><face type='FACS' au='2' amount='.3' stroke='sp1:start+.3' end='sp1:start+.9'",/><face type='FACS' au='4' amount='.3' stroke='sp1:start+1.2' end='sp1:start+1.6'/><face type='FACS' au='45' amount='1' stroke='sp1:start+1.2' end='sp1:start+1.6'/><face type='FACS' au='2' amount='.3' stroke='sp1:start+.3' end='sp1:start+.9',RD33-s.wav,,RD33-v.wav,,,,,,,1,,,,,,,,,,,,
RD34,If it's shorter though then maybe it has more like energy to go?,,,RD34v,"start=""sp1:start"" end=""sp1:start+4.6""/><face type='FACS' au='2' amount='.3' stroke='sp1:start+3.7' end='sp1:start+4.5'/><face type='FACS' au='4' amount='.3' stroke='sp1:start+0' end='sp1:start+1'/><face type='FACS' au='45' amount='.25' stroke='sp1:start+0' end='sp1:start+1'",/><face type='FACS' au='2' amount='.3' stroke='sp1:start+3.7' end='sp1:start+4.5'/><face type='FACS' au='4' amount='.3' stroke='sp1:start+0' end='sp1:start+1'/><face type='FACS' au='45' amount='.25' stroke='sp1:start+0' end='sp1:start+1',RD34-s.wav,,RD34-v.wav,,,,,,,1,,,,,,,,,,,,
RD35,if the ball's really high up then I think it goes faster,,if the ball really high up then I think it go more faster,RD35v,"start=""sp1:start"" end=""sp1:start+4.9""/><face type='FACS' au='2' amount='.3' stroke='sp1:start+.9' end='sp1:start+2.2'",/><face type='FACS' au='2' amount='.3' stroke='sp1:start+.9' end='sp1:start+2',RD35-s.wav,,RD35-v.wav,,,copula; verbalS; doubleComp,,,,1,,,,,,,,,,,,
RD36,if the ramp is made right though then I think more time on the ramp is good,,if the ramp made right though then I think more time on the ramp good,RD36v,"start=""sp1:start"" end=""sp1:start+3.6""/><face type='FACS' au='4' amount='.3' stroke='sp1:start+2.3' end='sp1:start+3.8'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+2.9' end='sp1:start+3.8'",/><face type='FACS' au='4' amount='.3' stroke='sp1:start+2.3' end='sp1:start+3.8'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+2.9' end='sp1:start+3.8',RD36-s.wav,,RD36-v.wav,,,copula; copula,,,,1,,,,,,,,,,,,
RD37,is that gonna slow it down?,,,RD37v,"start=""sp1:start"" end=""sp1:start+2""/><face type='FACS' au='4' amount='.3' stroke='sp1:start+0' end='sp1:start+1.4'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+0' end='sp1:start+1.4'",/><face type='FACS' au='4' amount='.3' stroke='sp1:start+0' end='sp1:start+1.4'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+0' end='sp1:start+1.4',RD37-s.wav,,RD37-v.wav,,,,,,,1,,,,,,,,,,,,
RD38,it has those like little holes in it,,it gots those like little hole in it,RD38v,"start=""sp1:start"" end=""sp1:start+3""/><face type='FACS' au='4' amount='.3' stroke='sp1:start+1.1' end='sp1:start+2.7'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+1.1' end='sp1:start+2.7'",/><face type='FACS' au='4' amount='.3' stroke='sp1:start+.9' end='sp1:start+2'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+.9' end='sp1:start+2',RD38-s.wav,,RD38-v.wav,,,gots; plural,,,,1,,,,,,,,,,,,
RD39,"I've done something like this with race-cars, but not in school.",,,RD39v,"start=""sp1:start"" end=""sp1:start+3.6""",,RD39-s.wav,,RD39-v.wav,,,,,,,1,,,,,,,,,,,,
RD40,like gravity?,,,RD40v,"start=""sp1:start"" end=""sp1:start+1.6""/><face type='FACS' au='4' amount='.3' stroke='sp1:start+0' end='sp1:start+1.5'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+0' end='sp1:start+1.5'",/><face type='FACS' au='4' amount='.3' stroke='sp1:start+0' end='sp1:start+1.3'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+0' end='sp1:start+1.3',RD40-s.wav,,RD40-v.wav,,,,,,,1,,,,,,,,,,,,
RD41,like  steep,,,RD41v,"start=""sp1:start"" end=""sp1:start+1.55""/><face type='FACS' au='4' amount='.3' stroke='sp1:start+0' end='sp1:start+.8'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+0' end='sp1:start+.8'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+.9' end='sp1:start+1.4'",/><face type='FACS' au='4' amount='.3' stroke='sp1:start+0' end='sp1:start+.8'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+0' end='sp1:start+.8'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+.9' end='sp1:start+1.4',RD41-s.wav,,RD41-v.wav,,,,,,,1,,,,,,,,,,,,
RD42,Maybe if it bounces a lot it can like jump even farther away,,Maybe if it bounce a lot it can like jump even farther away,RD42v,"start=""sp1:start"" end=""sp1:start+4""/><face type='FACS' au='2' amount='.3' stroke='sp1:start+.6' end='sp1:start+1.8'",/><face type='FACS' au='2' amount='.3' stroke='sp1:start+.6' end='sp1:start+1.3',RD42-s.wav,,RD42-v.wav,,,verbalS,,,,1,,,,,,,,,,,,
RD43,maybe if it's bouncy it won't go as fast because it's not going to build up any speed,,,RD43v,"start=""sp1:start"" end=""sp1:start+5.7""/><face type='FACS' au='2' amount='.3' stroke='sp1:start+.6' end='sp1:start+1.3'/><face type='FACS' au='4' amount='.3' stroke='sp1:start+2.5' end='sp1:start+3.9'/><face type='FACS' au='45' amount='1' stroke='sp1:start+2.5' end='sp1:start+3.9'",/><face type='FACS' au='2' amount='.3' stroke='sp1:start+.6' end='sp1:start+1.3'/><face type='FACS' au='4' amount='.3' stroke='sp1:start+2.5' end='sp1:start+3.5'/><face type='FACS' au='45' amount='1' stroke='sp1:start+2.5' end='sp1:start+3.5',RD43-s.wav,,RD43-v.wav,,,,,,,1,,,,,,,,,,,,
RD44,maybe if it's high up then it'll be able to fall faster,,,RD44v,"start=""sp1:start"" end=""sp1:start+4.5""/><face type='FACS' au='2' amount='.3' stroke='sp1:start+.5' end='sp1:start+2.1'",/><face type='FACS' au='2' amount='.3' stroke='sp1:start+.5' end='sp1:start+2.1',RD44-s.wav,,RD44-v.wav,,,,,,,1,,,,,,,,,,,,
RD45,Maybe if the ramp is shorter than it has less  room to travel,,,RD45v,"start=""sp1:start"" end=""sp1:start+5.6""/><face type='FACS' au='2' amount='.3' stroke='sp1:start+4.9' end='sp1:start+5.4'/><face type='FACS' au='4' amount='.3' stroke='sp1:start+2.5' end='sp1:start+4.1'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+2.5' end='sp1:start+4.1'",/><face type='FACS' au='2' amount='.3' stroke='sp1:start+4.9' end='sp1:start+5.4'/><face type='FACS' au='4' amount='.3' stroke='sp1:start+2' end='sp1:start+4.1'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+2' end='sp1:start+4.1',RD45-s.wav,,RD45-v.wav,,,,,,,1,,,,,,,,,,,,
RD46,maybe if we make it really high then it's gonna go faster because it'll be more like falling,,,RD46v,"start=""sp1:start"" end=""sp1:start+4.7""/><face type='FACS' au='2' amount='.3' stroke='sp1:start+.9' end='sp1:start+1.4'",/><face type='FACS' au='2' amount='.3' stroke='sp1:start+.9' end='sp1:start+1.4',RD46-s.wav,,RD46-v.wav,,,,,,,1,,,,,,,,,,,,
RD47,maybe it only needs to be heavier if it's lower?,,maybe it only need to be heavier if it's lower?,RD47v,"start=""sp1:start"" end=""sp1:start+3.7""/><face type='FACS' au='2' amount='.2' stroke='sp1:start+0' end='sp1:start+2'",/><face type='FACS' au='2' amount='.2' stroke='sp1:start+0' end='sp1:start+1.4',RD47-s.wav,,RD47-v.wav,,,verbalS; doubleComp,,,,1,,,,,,,,,,,,
RD48,maybe it's better if it's longer because then it's gonna get more rolls,,,RD48v,"start=""sp1:start"" end=""sp1:start+4.4""/><face type='FACS' au='2' amount='.3' stroke='sp1:start+3.5' end='sp1:start+4.3'/><face type='FACS' au='4' amount='.3' stroke='sp1:start+1.1' end='sp1:start+2.5'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+1.1' end='sp1:start+2.5'",/><face type='FACS' au='2' amount='.3' stroke='sp1:start+3.5' end='sp1:start+4.3'/><face type='FACS' au='4' amount='.3' stroke='sp1:start+1.1' end='sp1:start+2.5'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+1.1' end='sp1:start+2.5',RD48-s.wav,,RD48-v.wav,,,,,,,1,,,,,,,,,,,,
RD49,maybe that's the answer if it doesn't fall off,,maybe this the answer if it don't fall off,RD49v,"start=""sp1:start"" end=""sp1:start+2.6""/><face type='FACS' au='2' amount='.3' stroke='sp1:start+1.8' end='sp1:start+2.5'",/><face type='FACS' au='2' amount='.3' stroke='sp1:start+1.8' end='sp1:start+2.5',RD49-s.wav,,RD49-v.wav,,,copula; don't,,,,1,,,,,,,,,,,,
RD50,"maybe like if it was really low then it would be just like it was on the ground, and it wouldn't be able to pick up speed ",,,RD50v,"start=""sp1:start"" end=""sp1:start+3.6""",,RD50-s.wav,,RD50-v.wav,,,,,,,1,,,,,,,,,,,,
RD51,Maybe it's not a lot heavier?,,,RD51v,"start=""sp1:start"" end=""sp1:start+2.2""/><face type='FACS' au='4' amount='.3' stroke='sp1:start+.4' end='sp1:start+1'/><face type='FACS' au='45' amount='1' stroke='sp1:start+.4' end='sp1:start+1'",/><face type='FACS' au='4' amount='.3' stroke='sp1:start+.4' end='sp1:start+1'/><face type='FACS' au='45' amount='1' stroke='sp1:start+.4' end='sp1:start+1',RD51-s.wav,,RD51-v.wav,,,,,,,1,,,,,,,,,,,,
RD52,"maybe the ball's going to be fastest if it's high, because ",,"maybe making it high a good idea because, um ",RD52v,"start=""sp1:start"" end=""sp1:start+9.5""",,RD52-s.wav,,RD52-v.wav,,,copula,,,,1,,,,,,,,,,,,
RD53,maybe the golf ball goes faster because it doesn't bounce as much,,maybe the golf ball go faster because it don't bounce as much,RD53v,"start=""sp1:start"" end=""sp1:start+4.9""/><face type='FACS' au='2' amount='.3' stroke='sp1:start+3.2' end='sp1:start+4'",/><face type='FACS' au='2' amount='.3' stroke='sp1:start+2.9' end='sp1:start+3.8',RD53-s.wav,,RD53-v.wav,,,verbalS; don't,,,,1,,,,,,,,,,,,
RD54,maybe the tennis ball is slower,,maybe the tennis ball be slower,RD54v,"start=""sp1:start"" end=""sp1:start+2.8""/><face type='FACS' au='4' amount='.3' stroke='sp1:start+0' end='sp1:start+1.1'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+0' end='sp1:start+1.1'",/><face type='FACS' au='4' amount='.3' stroke='sp1:start+0' end='sp1:start+1'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+0' end='sp1:start+1',RD54-s.wav,,RD54-v.wav,,,be,,,,1,,,,,,,,,,,,
RD55,maybe it needs some edges to keep it from falling off ,,maybe it need some edge to keep it from falling off,RD55v,"start=""sp1:start"" end=""sp1:start+3.3""/><face type='FACS' au='2' amount='.3' stroke='sp1:start+2.1' end='sp1:start+2.9'",/><face type='FACS' au='2' amount='.3' stroke='sp1:start+2.1' end='sp1:start+2.9',RD55-s.wav,,RD55-v.wav,,,plural?,,,,1,,,,,,,,,,,,
RD56,maybe we have to make it shorter so the ramp can't slow it down,,,RD56v,"start=""sp1:start"" end=""sp1:start+3.5""/><face type='FACS' au='4' amount='.3' stroke='sp1:start+2.1' end='sp1:start+2.8'/><face type='FACS' au='45' amount='1' stroke='sp1:start+2.1' end='sp1:start+2.8'/><face type='FACS' au='2' amount='.3' stroke='sp1:start+2.9' end='sp1:start+3.3'",/><face type='FACS' au='4' amount='.3' stroke='sp1:start+2.1' end='sp1:start+2.8'/><face type='FACS' au='45' amount='1' stroke='sp1:start+2.1' end='sp1:start+2.8'/><face type='FACS' au='2' amount='.3' stroke='sp1:start+2.9' end='sp1:start+3.3',RD56-s.wav,,RD56-v.wav,,,,,,,1,,,,,,,,,,,,
RD58,My cousin played golf in school once and was telling me,,My cousin play golf in school once and was telling me,RD58v,"start=""sp1:start"" end=""sp1:start+3.8""/><face type='FACS' au='4' amount='.3' stroke='sp1:start+2.4' end='sp1:start+3.8'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+2.4' end='sp1:start+3.8'/><face type='FACS' au='2' amount='.3' stroke='sp1:start+.1' end='sp1:start+2'",/><face type='FACS' au='4' amount='.3' stroke='sp1:start+3' end='sp1:start+4.6'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+3' end='sp1:start+4.6'/><face type='FACS' au='2' amount='.3' stroke='sp1:start+.1' end='sp1:start+2.4',RD58-s.wav,,RD58-v.wav,,,past,,,,1,,,,,,,,,,,,
