RootName,SBE utterance,NeutralDistinct,AAVE utterance,Notes_AAVEFeatures,Notes_Phono,Notes for recording,Gesture,Science Monologue: test,MonologueNumber,Task Intro: test,On-task Sentences: test,Feedback: test,AT: test,Social: test,Prepping for presentation: test,Social Talk: test,Accountable Talk: test,Dialect Use: test,,,,,,,,,,
,How can we make it more stable…,,How can we make it more stabler…,doubleComp,,Thinking prosody,,,,,1,,,,,,,,,,,,,,,,,
,I don't think it needs more bricks on top of the top part,,I don't think it need more brick on top of the top part,verbalS; plural,,,,,,,1,,,,,,,,,,,,,,,,,
,I think that's not going to make it any more stable,,I think that ain't gon' make it no more stable,?? Ain't; neg,,,,,,,1,,,,,,,,,,,,,,,,,
,I don't think that one would work,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,"I think it should be different on the two, on both sides",,"I think it should be different on the two, on both side",plural,,,,,,,1,,,,,,,,,,,,,,,,,
,"I think it should be the same number of blocks on both sides, so it's even",,"I think it should be the same number of block on both side, so it's even",plural; plural,,,,,,,1,,,,,,,,,,,,,,,,,
,I think the bridge is going to fall over over if it's too high up,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,I think more blocks will make it stronger,,I think more block will make it more stronger,plural; doubleComp,,,,,,,1,,,,,,,,,,,,,,,,,
,"if it's different, then maybe different types of strength can hold it up",,,,,,,,,,1,,,,,,,,,,,,,,,,,
,I think probably high so that there's more rooms to make the beams really big,,I think probably high so that it's more rooms to make the beams really big,,,,,,,,1,,,,,,,,,,,,,,,,,
,I think that might make it stronger…,,,,,"""Wait, can we",,,,,1,,,,,,,,,,,,,,,,,
,I think that's going to work,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,I think the beams all need to connect to something though,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,"I think the beams can go in the water because they like attach into the ground, um, under the water",,,,,"Explaining prosody, as if the kid just said ""WE CAN'T PUT BEAMS INTO THE WATER IDIOT""",,,,,1,,,,,,,,,,,,,,,,,
,I think the beams need to touch the ground,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,I think the beams should be really thick,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,I think the middle beam maybe helps it be like strong all the way across,,I think the middle beam maybe help it be like strong all the way across,verbalS,,,,,,,1,,,,,,,,,,,,,,,,,
,I think the side beams are strongest if they're like… triangle shaped.,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,If it's taller then maybe we need more support beams? So it's more sturdy?,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,I think... lots of blocks on the bottom of the beams and then less blocks on the top,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I think we should give it a really strong base,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,I think we should put more blocks near the base so the beams are really strong,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,"I think we should try to make it equal, um, amounts of strong across the whole bridge",,,,,,,,,,1,,,,,,,,,,,,,,,,,
,I played with legos all the time when I was littler,,I played with legos all the time when I was littler,,,"As if this kind of makes him knowledgeable, like ""good idea"" ""yeah, thanks, I know, I used to play with legos all the time."" Not said like a brat though - kind of almost like it's humbling. ""Oh, no big deal, I just played with legos a lot.""",,,,,1,,,,,,,,,,,,,,,,,
,I wonder… how we can make it stronger without making it taller…,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,If it's different though then will one side be stronger?,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,"If it's higher then, um, more blocks will be able to hold it up",,,,,,,,,,1,,,,,,,,,,,,,,,,,
,If it's too low though then the beams won't have room to have a lot of blocks,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,If the beams are longer than we can use more blocks for them,,If the beams longer than we can use more blocks for them,copula,,,,,,,1,,,,,,,,,,,,,,,,,
,If the beams are shorter then maybe they don't have to have as many blocks,,If the beams  shorter then maybe they ain't gotta have as many blocks,copula; ain't,,,,,,,1,,,,,,,,,,,,,,,,,
,"Maybe if there's too many blocks on top, those beams are gonna break",,,exit,,,,,,,1,,,,,,,,,,,,,,,,,
,If there's not any support in the middle it might break in half,,If it ain't no support in the middle it might break in half,exit; ain't; doubleNeg,,,,,,,1,,,,,,,,,,,,,,,,,
,"If we just add more bricks to the bottom of the across part, will that make it... stronger?",,,,,,,,,,1,,,,,,,,,,,,,,,,,
,It should be tall enough for that boat to go under I think,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,"It'll probably need a few, um, beams on both sides",,,,,,,,,,1,,,,,,,,,,,,,,,,,
,"it's just um, extra weight I think... unless they're holding the beams together?",,,,,,,,,,1,,,,,,,,,,,,,,,,,
,It's not a bridge if it's not off the ground at all!,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,It's probably gonna be stronger with more beams,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,Like a rectangle?,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,Like a triangle?,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,Maybe it should have stairs,,,,,Playful kind of like a joke. ,,,,,1,,,,,,,,,,,,,,,,,
,Maybe it's gonna be stronger if it's thicker on the bottom,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,Maybe more blocks in the beams would make them stronger,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,I don't even think those half-way beams are doing anything,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,Maybe they're fine in the water if they're thick enough so they don't get knocked down,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,Maybe we could make really big beams on both sides,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,Maybe we could make the base like really thick,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,Maybe we need more beams to make it stronger,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,Maybe we should make it lower so it has less room to wiggle around,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,Maybe we should make it taller so it's bigger and stronger,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,No beams at the top part?,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,What about that beam across the middle?,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,one beam in the water?,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,One beam or do you think more?,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,People are gonna fall,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,Shoud it be like... more than one level high? Like multi-level?,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,So it can help support it,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,So the ground can help support it,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,So we're having a middle beam that goes across the whole thing?,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,So what if we do just one beam in the water?,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,So what if we do three beams in the water?,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,That would be a wall!,,,,,"Playful, in case the kid says something like ""THE WHOLE BASE SHOULD JUST BE A BEAM""",,,,,1,,,,,,,,,,,,,,,,,
,I think those beams have to be bigger to hold up those weights,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,They're probably gonna be stronger if they're bigger,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,three beams at the top part?,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,three beams in the water?,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,Wait can the bricks even go like that?!,,,,,Playful,,,,,1,,,,,,,,,,,,,,,,,
,"Wait, at the top or at the bottom?",,,,,,,,,1,1,,,,,,,,,,,,,,,,,
,What about the boat?,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,That's gonna break,,,,,"""Thaaaa'ts gonna break.""",,,,,1,,,,,,,,,,,,,,,,,
,What if it's too tall and it falls over?,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,What if we connect the water beams to the land beams?,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,Will the middle part be strong enough?,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,Would that make one side stronger than the other?,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,Yeah it's gonna crash,,,,,"Joke, in response to the kid being like ""omg the boat is going to diieeee"" or ""the boat is never gonna fit""",,,,,1,,,,,,,,,,,,,,,,,
,Well maybe the middle bar can help it by… umm….?,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,Well maybe more beams help… by… umm….?,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,Well maybe the bigger base at the bottom could help by… um…,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,Maybe if it's just straight up then it'll... take up less room?,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,So you could have more beams then?,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,Maybe if we make the beams little then we could have more?,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,"Do you think it's better if we have more little beams or um, fewer thick beams?",,,,,,,,,,1,,,,,,,,,,,,,,,,,
,Do you think it's better if we keep the top part flat or if we have more blocks on it?,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,Maybe more blocks on the top can add extra strength,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,...Because it'll hold it together better?,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,I think there shouldn't be any extra weight to keep it strong,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,I think the people still need to walk across the top part,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
,I think we need to figure out how to make sure the bridge isn't going to break when there's another weight bag on it,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
,But we don't even know where they're gonna put the other bag…,,,,,,,,,,,,,,,,,,,,,,,,,,,
,It looks like it's going to break even with just one bag,,,,,,,,,,,,,,,,,,,,,,,,,,,
,My hypothesis is that the bridge will be strongest if we have strong beams on both sides and in the middle part,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
,"because I think then it will be… more stable, and the bridge won't break",,,,,,,1,2,,,,,,,,,,,,,,,,,,,
,"My hypothesis is also that the way to make the beams stronger is to um, first to make them really thick, like with a lot of bricks on them.",,,,,,,1,3,,,,,,,,,,,,,,,,,,,
,And the beams are also gonna be stronger if they're bigger at the base part… like a triangle,,,,,,,1,4,,,,,,,,,,,,,,,,,,,
,because then I think the base can make them more sturdy.,,,,,,,1,5,,,,,,,,,,,,,,,,,,,
,My other hypothesis is that the bridge would be even stronger if there were… supports connecting the middle part to the other beams.,,,,,,,1,6,,,,,,,,,,,,,,,,,,,
,Because this way the beams probably won't break and the bridge can stay up.,,,,,,,1,7,,,,,,,,,,,,,,,,,,,
,And my last hypothesis is that there shouldn't be a lot of extra weight at the top…,,,,,,,1,8,,,,,,,,,,,,,,,,,,,
,… because if there's more weight at the top than at the bottom than it can crash…,,,,,,,1,9,,,,,,,,,,,,,,,,,,,
,… so I think that the top should be strong and there should be supports that hold it up…,,,,,,,1,10,,,,,,,,,,,,,,,,,,,
,… but that there shouldn't be extra blocks on top of it because that will just add more weight.,,,,,,,1,11,,,,,,,,,,,,,,,,,,,
,So yeah the bridge should have a lot of thick supports that are all connected to each other and to the middle part.,,,,,,,1,12,,,,,,,,,,,,,,,,,,,
,And... that's all.,,,,,,,1,13,,,,,,,,,,,,,,,,,,,
,Probably money,,,,"joking, ""What do you think is in those bags? ""Probably money!""",,,,,,,,,,,,,,,,,,,,,,,
,Okay… so I think we have to talk about making it stronger so it can hold up another one of those weight bags…,,,,,,,,,1,,,,,,,,,,,,,,,,,,
NEW,Are those orange beams even doing anything?,,,,,,,,,,,,,,,,,,,,,,,,,,,
,You think we need to make those orange ones longer?,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I think the orange blocks are just adding extra weight,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Yeah, the orange ones?",,,,,,,,,,,,,,,,,,,,,,,,,,,
,the pink one or the red one?,,,,,,,,,,,,,,,,,,,,,,,,,,,
,that blue one?,,,,,,,,,,,,,,,,,,,,,,,,,,,
,What about that blue one?,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maybe we could make those orange ones like connect to the purple one and then connect back to the ground,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"If they're like the whole way, then I think they could hold it up",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"I wonder if the blue one connect to the gray, or just stop at the purple?",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Looks like it can pass through,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"The red one looks strong, but the pink one doesn't.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"I think the blue beam looks strong, but the orange beams don't",,,,,,,,,,,,,,,,,,,,,,,,,,,
,The blue beam conneects the purple one to the water,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I think the beams are strong… if they connect to both the top of the bridge and the ground somehow…,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Real bridges have like a zig-zag pattern sometimes I think,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"it looks like the pink side beam has only one row, and the red beam has two rows.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"I think the um, red and pink side beams should be bigger on the bottom so it can hold it up.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maybe we need more of those blue beams to hold it up in the water,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I think we need more beams connecting the gray and the purple,,,,,,,,,,,,,,,,,,,,,,,,,,,
,That pink one is probably gonna break with another weight on it,,,,,,,,,,,,,,,,,,,,,,,,,,,
,They're probably gonna put the other weight on the other side of that gray hill part,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maybe we should make the blue beam be thicker too?,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"If pink and red are different, then maybe it can like, use different types of strength? To hold it up?",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Let's give the pink beam another row,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I think we should add another row to the pink beam to make it the same as the red one,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Do you think the red and pink beams should have the same number of blocks, or different?",,,,,,,,,,,,,,,,,,,,,,,,,,,
,What about the purple beam?,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I don't even think it can stay up like that,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Is that gonna make it strong or just gonna add extra weight?,,,,,,,,,,,,,,,,,,,,,,,,,,,
,What about if we connect the orange ones to that purple one?,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I think they want us to imagine that they can all stick together like that,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Is that purple beam even doing anything?,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Should we keep the purple one in?,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Well maybe the orange blocks could help make it stronger if we like… um….,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Maybe the red beam and the pink beam should have the same, um, number of blocks because…. Uh….",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Well maybe it's good if the pink and red are different because..um…,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maybe the blue beam could help make it stronger by…um…,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Do you think the bridge is going to be stronger if we try and make it heavier?,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I think the extra gray blocks on top are just gonna be making it heavier.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Do you think we should make the gray part flat all the way across, or keep the … pyramid on it?",,,,,,,,,,,,,,,,,,,,,,,,,,,
,hmm… I think we could make it stronger by… um...,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1,Hi,,Hi,,,,,,,,,,,,,Alex_Hi,,,,,,,,,,,,
G2,I'm Alex,,I'm Alex,,,,,,,,,,,,,Alex_Im_Alex,,,,,,,,,,,,
G3,I'm in second grade,,I'm in second grade,,,,,,,,,,,,,Alex_Im_in_fifth_grade,,,,,,,,,1,,,
G4,I'm in third grade,,I'm in fird grade,,,,,,,,,,,,,Alex_Im_in_third_grade,,,1,,,,,,1,,,
G5,I'm in fourth grade,,I'm in fourf grade,,,,,,,,,,,,,Alex_Im_in_fifth_grade,,,,,,,,,1,,,
G6,I'm in fifth grade,,I'm in fif' grade,,,,,,,,,,,,,Alex_Im_in_fifth_grade,,,,,,,,,,,,
G7,I'm in sixth grade,,I'm in six grade,,,,,,,,,,,,,Alex_Im_in_third_grade,,,,,,,,,,,,
G8,"I'm not real, remember?",,"I'm ain't real, 'member?",,,,,,,,,,,,,,,,,,,,,,,,,
G9,I'm a girl,,I'm a girl,,,,,,,,,,,,,Alex_Im_Alex,,,,,,,,,,,,
G10,I'm a boy,,I'm a boy,,,,,,,,,,,,,Alex_Im_Alex,,,,,,,,,,,,
G11,"I don't play any sports this year, but last year I played basketball.",,"I don't play no sports dis year, but las' year I play basketball",,,,,,,,,,,,,Alex_I_dont_play_any_sports_this_year_but_last_year_I_played_basketball,,,,,,,,,,,,
G12,"I do stuff, I'm just a computer person, too.",,"I do stuff, I'm jus' a computer person, too.",,,,,,,,,,,,,,,,,,,1,,,,,,
G13,I like it,,I like it,,,,,,,,,,,,,Alex_I_do,,,,,,,,,,,,
G14,Not really,,Not really,,,,,,,,,,,,,,,,,,,,,,,,,
G15,I love video games.,,I luh' video games.,,,,,,,,,,,,,,,,,,,,,,,,,
G16,Minecraft.,,Minecraf'.,,,,,,,,,,,,,Alex_I_do,,,,,,,,,,,,
G17,You?,,You?,,,,,,,,,,,,,Alex_What_else,,,,,,,,,,,,
G18,What about you?,,What 'bout you?,,,,,,,,,,,,,Alex_Whats_your_name,,,,,,,,,,,,
G19,What's your name?,,Wha's your name?,,,,,,,,,,,,,Alex_Whats_your_name,,,,,,,,,,,,
G20,What grade are you in?,,What grade you in?,,,,,,,,,,,,,Alex_Whats_your_name,,,,,,,,,,,,
G21,"Oh, cool.",,"Oh, cool.",,,,,,,,,,,,,Alex_Oh_cool,,,,,,,,,,,,
G22,Mostly computer games.,,Mos'ly computer games.,,,,,,,,,,,,,,,,,,,,,,,,,
G23,I have like teachers and stuff.,,I got like teachers and stuff.,,,,,,,,,,,,,,,,,,,,,,,,,
G24,I guess I'm kind of like a game.,,I guess I'm kind of like a game.,,,,,,,,,,,,,,,,,,,,,,,,,
G25,I like sports,,I like sports,,,,,,,,,,,,,Alex_Oh_cool,,,,,,,,,,,,
G26,I have two little sisters,,I got two lil sister,,,,,,,,,,,,,,,,,,,,,,,,,
G27,I've never done anything like this before,,I ain't never done nuffin' like dis before.,,,,,,,,,,,,,Alex_Ive_never_seen_any_creatures_like_these_before,,,,,,,,,,,,
G28,What about you?,,What 'bout you?,,,,,,,,,,,,,Alex_Oh_why_curious,,,,,,,,,,,,
G29,My teacher's making me do this.,,My teacher makin' me do dis.,,,,,,,,,,,,,,,,,,,,,,,,,
G30,I guess,,I guess,,,,,,,,,,,,,Alex_Oh_why_curious,,,,,,,,,,,,
G31,I guess I like science.,,I guess I like science.,,,,,,,,,,,,,Alex_like,,,,,,,,,,,,
G32,It's okay.,,I'ss okay.,,,,,,,,,,,,,Alex_Uhhuh,,,,,,,,,,,,
G33,My teacher's really nice.,,My teacher real nice,,,,,,,,,,,,,,,,,,,,,,,,,
G34,Do you?,,Do you?,,,,,,,,,,,,,Alex_Oh_why_curious,,,,,,,,,,,,
G35,What's yours?,,Wha's yours?,,,,,,,,,,,,,Alex_Whats_your_name,,,,,,,,,,,,
G36,What's yours?,,Wha's yours?,,,,,,,,,,,,,Alex_Whats_your_name,,,,,,,,,,,,
G37,Thanks!,,Fanks!,,,,,,,,,,,,,Alex_Oh_cool,,,,,,,,,,,,
G38,Me too.,,Me too.,,,,,,,,,,,,,Alex_Yeah_agreeing,,,,,,,,,,,,
G39,Nuh-uh!,,Nuh-uh!,,,,,,,,,,,,,,,,,,,,,,,,,
G40,Uh-huh!,,Uh-huh! ,,,,,,,,,,,,,Alex_Uhhuh,,,,,,,,,,,,
G41,I'm not sayin',,I ain't sayin',,,,,,,,,,,,,Alex_Im_not_sure_disagreeing,,,,,,,,,,,,
G42,Mine too.,,Mine too.,,,,,,,,,,,,,Alex_Yeah_agreeing,,,,,,,,,,,,
G43,You too!,,You too!,,,,,,,,,,,,,Alex_Yeah_agreeing,,,,,,,,,,,,
G44,Hmmm,,Hmmm,,,,,,,,,,,,,Alex_Hmmmmm,,,,,,,,,,,,
G45,Hm.,,Hm.,,,,,,,,,,,,,Alex_Hm,,,,,,,,,,,,
G46,Let me think,,Lemme fink,,,,,,,,,,,,,Alex_Let_me_think,,,,,,,,,,,,
G47,Well,,Well,,,,,,,,,,,,,Alex_Hm,,,,,,,,,,,,
G48,Hah,,,,,,,,,,,,,,,,,,,,,,,,,,,
G49,Giggle,,,,,,,,,,,,,,,,,,,,,,,,,,,
G50,Yeah!,,,,,,,,,,,,,,,Alex_Yeah_agreeing,,,,,,,,,,,,
G51,Yeah,,,,,,,,,,,,,,,Alex_Yeah_agreeing,,,,,,,,,,,,
G52,Uh-huh?,,,,,,,,,,,,,,,Alex_Oh_why_curious,,,,,,,,,,,,
G53,Mhm,,,,,,,,,,,,,,,Alex_Yeah_agreeing,,,,,,,,,,,,
G54,Yeah ,,,,,,,,,,,,,,,Alex_Yeah_agreeing,,,,,,,,,,,,
G55,Yeah ,,,,,,,,,,,,,,,Alex_Yeah_agreeing,,,,,,,,,,,,
G56,Yep,,,,,,,,,,,,,,,Alex_Yeah_agreeing,,,,,,,,,,,,
G57,I'm not sure,,I  ain't sure  ,,,,,,,,,,,,,Alex_Im_not_sure_answer,,,,,,,,,,,,
G58,I'm not sure,,I ain't sure.,,,,,,,,,,,,,Alex_Im_not_sure_answer,,,,,,,,,,,,
G59,Nah,,,,,,,,,,,,,,,Alex_Im_not_sure_answer,,,,,,,,,,,,
G60,No,,,,,,,,,,,,,,,Alex_Im_not_sure_answer,,,,,,,,,,,,
G61,I don't,,I don't,,,,,,,,,,,,,,,,,,,,,,,,,
G62,I do,,I do,,,,,,,,,,,,,Alex_Yeah_agreeing,,,,,,,,,,,,
G63,Oooh,,,,,,,,,,,,,,,Alex_Oh,,,,,,,,,,,,
G64,Oh,,,,,,,,,,,,,,,Alex_Oh,,,,,,,,,,,,
G65,That makes sense.,,Dat makes sense.,,,,,,,,,,,,,,,,,,,,,,,,,
G66,Gotcha.,,Gotcha.,,,,,,,,,,,,,Alex_Yeah_agreeing,,,,,,,,,,,,
G67,"Oh, nevermind",,"Oh, nevermin'",,,,,,,,,,,,,,,,,,,,,,,,,
G68,Probly like,,Prolly like,,,,,,,,,,,,,,,,,,,,,,,,,
G69,You're crazy,,You crazy,,,,,,,,,,,,,,,,,,,,,,,,,
G70,I'm not sure about that,,I ain't sure 'bout dat.,,,,,,,,,,,,,Alex_Im_not_sure_disagreeing,,,,,,,,,,,,
G71,"Yeah, that's right I think",,"Yeah, da'ss right I fink",,,,,,,,,,,,,,,,,,,,,,,,,
G72,"Wait, I don't think",,"Wait, I don't fink",,,,,,,,,,,,,,,,,,,,,,,,,
G73,"Yeah, I think so too.",,"Yeah, I fink so too.",,,,,,,,,,,,,Alex_Yeah_theyre_pretty_weird,,,,,,,,,,,,
G74,Think we're done?,,Fink we done?,,,,,,,,,,,,,,,,,,,,,,,,,
G75,I think we're done with this part now,,I fink we done with dis part now.,,,,,,,,,,,,,,,,,,,,,,,,,
G76,I don't think they're gonna think we talked about it enough,,I don't fink dey gonna fink we talk about it enough,,,,,,,,,,,,,,,,,,,,,,,,,
G77,I guess it's our job to figure this stuff out.,,I guess i'ss our job to figure dis stuff out.,,,,,,,,,,,,,,,,,,,,,,,,,
G78,Oookay. Any ideas?,,Oookay. Any ideas?,,,,,,,,,,,,,Alex_Any_other_ideas,,,,,,,,,,,,
G79,Hmm.. I think we got all of it.,,Hmm.. I fink we done got all of it.,,,,,,,,,,,,,,,,,,,,,,,,,
G80,"I think now we have to, um, come up with our presentations. For the teacher.",,"I fink now we gotta, um, come up wif our presentations. For de teacher.",,,,,,,,,,,,,,,,,,,,,,,,,
,"Okay, I think it's time for us to have to do the teacher presentation part.",,"Okay, I fink i'ss time for us to have to do de teacher presentation part.",,,,,,,,,,,,,,,,,,,,,,,,,
G81,Think it's time for the presentation part?,,Fink I'ss time for de presentation part?,,,,,,,,,,,,,,,,,,,,,,,,,
G82,I can go first.,,I can go firs'.,,,,,,,,,,,,,,,,,,,,,,,,,
G83,I think we just have to like say the ideas we came up with.,,I fink we just gotta like say de ideas we came up wif.,,,,,,,,,,,,,,,,,,,,,,,,,
G84,My teacher says she's grading mine,,My teacher say she gradin' mine,,,,,,,,,,,,,,,,,,,,,,,,,
G85,I'm going to try and do a good job on it. ,,I'mma try and do a good job on it. ,,,,,,,,,,,,,,,,,,,,,,,,,
G86,Your turn?,,Your turn?,,,,,,,,,,,,,Alex_Oh_why_curious,,,,,,,,,,,,
G87,"Oookay. That was embarrassing, haha.",,"Oookay. Dat was embarrassin', haha.",,,,,,,,,,,,,,,,,,,,,,,,,
G88,I think basically just like the stuff we talked about.,,I fink basically just like de stuff we talk about.,,,,,,,,,,,,,,,,,,,,,,,,,
G89,"Okay, let me think for a minute and figure out what I'm gonna say",,"Okay, lemme fink for a minute and figure out what I'mma say",,,,,,,,,,,,,,,,,,,,,,,,,
G90,Because,,Cuz  ,,,,,,,,,,,,,Alex_Oh,,,,,,,,,,,,
G91,and,,and,,,,,,,,,,,,,Alex_Oh,,,,,,,,,,,,
,See ya!,,See ya!,,,,,,,,,,,,,Alex_Hi,,,,,,,,,,,,
,Bye!,,Bye!,,,,,,,,,,,,,Alex_Hi,,,,,,,,,,,,
,That was fun. See ya next time.,,Dat was fun. See ya nex' time.,,,,,,,,,,,,,,,,,,,,,,,,,
G92,That's just how I talk,,Da'ss jus' how I talk,,,,,,,,,,,,,Alex_Why_do_you_say_that,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT1,"Wait, I wanna make sure I get it",,"Wait, I wanna make sure I get it",,,,,,,,,,,,,AT1v,,,,,,,,,,,,
AT2,Is that the same thing as like,,Is dat the same fing as like,,,,,,,,,,,,,AT2v,,,,,,,,,,,,
