RootName,SBE_Utterance_Analysis,AAVE_Utterance_Analysis,AAVE_Utterance_BML,AAVE_Utterance_Phonetics,SBE_wav_name,SBE_wav,AAVE_wav_name,AAVE_wav,NeutralDistinct,AAVEFeatures,Phono,Gesture_Empty,TaskIntro,Monologue,MonologueNumber,Gesture,args,aae_args,Feedback: test,AT: test,Social: test,Task Intro: test,Presentation Mode: test,Science Monologue: test,Social Talk: test,Accountable Talk: test,On-task Sentences: test,Dialect Use: test
CD11,He probly eats things he can just pick up really easily so he doesn't have to fight,He probably eat things he can just pick up real easy so he ain't gotta fight,He prolly eat fings he kin jus pick up real easy so he ain't gotta fight,He prolly eat fings he kin jus' pick up real easy so he ain't gotta fight,CD11-s.wav,,CD11-v.wav,x,,real; adv; ain't; gotta,kin; TD,,,,,Alex_They_can_probably_eat_things_they_can_just_pick_up_really_easily_so_they_dont_have_to_fight,"start=""sp1:start"" stroke=""sp1:start+3.4"" end=""sp1:start+6""/><face type='FACS' au='2' amount='.3' stroke='sp1:start+3.6' end='sp1:start+4.3' ","start=""sp1:start"" end=""sp1:start+6.3""/><face type='FACS' au='2' amount='.3' stroke='sp1:start+4' end='sp1:start+5' ",,,,,,,,,,
CD12,He probly picks leaves from the trees and builds a shelter so he can stay warm,He probably pick leaves from the trees� and build a shelter? So... he can stay warm.,He prolly pick leaves from the trees and build a shelter so he can stay warm,He prolly pick leaves from de trees and build a shelter so he can stay warm,CD12-s.wav,,CD12-v.wav,x,,verbalS; verbalS,,,,,,Alex_They_can_probably_pick_leaves_from_the_trees,"start=""sp1:start"" stroke=""sp1:start+.5"" end=""sp1:start+5.9""/><face type='FACS' au='2' amount='.3' stroke='sp1:start+4.9' end='sp1:start+5.4' ","start=""sp1:start"" stroke=""sp1:start+.7"" end=""sp1:start+6.8""/><face type='FACS' au='2' amount='.3' stroke='sp1:start+5.7' end='sp1:start+6.1' ",,,,,,,,,,
CD13,He probly um uses his horns to fight other animals like either to attack them or to protect himself,He probably um use his horns to fight other animal? Like... either to attack 'em or to protect himself,He prolly um use his horns to fight ovher animal like eivher to attack 'em or to protect hisself,He prolly um use his horns to fight ovher animal like eivher to attack 'em or to protec' hisself,CD13-s.wav,,CD13-v.wav,x,,verbalS; plural; TD; hisself,,,,,,Alex_They_can_probably_um_use_their_horns_to_fight,"start=""sp1:start"" end=""sp1:start+9.3""/><face type='FACS' au='4' amount='.3' stroke='sp1:start+.4' end='sp1:start+4.6' /><face type='FACS' au='45' amount='.3' stroke='sp1:start+.4' end='sp1:start+4.6' /><face type='FACS' au='2' amount='.4' stroke='sp1:start+6' end='sp1:start+7' ","start=""sp1:start"" end=""sp1:start+8.75""/><face type='FACS' au='4' amount='.3' stroke='sp1:start+.4' end='sp1:start+4.6' /><face type='FACS' au='45' amount='.3' stroke='sp1:start+.4' end='sp1:start+4.6' /><face type='FACS' au='2' amount='.4' stroke='sp1:start+6.1' end='sp1:start+7.1' ",,,,,,,,,,
CD14,"He could probly use sticks um, leaves",He could probly use sticks um leaves,He could probly use sticks um leaves,"He could prolly use sticks... um, leaves...",CD14-s.wav,,CD14-v.wav,,n,,,,,,,Alex_They_could_probably_use_sticks_um_leaves,"start=""sp1:start"" end=""sp1:start+5.4""/><face type='FACS' au='4' amount='.3' stroke='sp1:start+.1' end='sp1:start+3.5'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+.1' end='sp1:start+3.5'",/><face type='FACS' au='4' amount='.3' stroke='sp1:start+.1' end='sp1:start+3.5'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+.1' end='sp1:start+3.5',,,,,,,,,,
CD15,He doesn't look like he has sharp teeth or claws or anything.,,He don't look like he got sharp teeth or claws or nothing.,He don't look like he got sharp teef or claws or nuffin.,CD15-s.wav,,CD15-v.wav,,,don't; got; doubleNeg,TH; NG,,,,,Alex_They_like_dont_have_any_sharp_teeth_or_claws_or_anything,"start=""sp1:start"" end=""sp1:start+4.4""/><face type='FACS' au='4' amount='.4' stroke='sp1:start+0.3' end='sp1:start+3.5'/><face type='FACS' au='45' amount='.4' stroke='sp1:start+0.3' end='sp1:start+3.5'","start=""sp1:start"" end=""sp1:start+4.3""/><face type='FACS' au='4' amount='.4' stroke='sp1:start+0.3' end='sp1:start+3.5'/><face type='FACS' au='45' amount='.4' stroke='sp1:start+0.3' end='sp1:start+3.5'",,,,,,,,,,
CD16,He has a pretty big mouth like a frog mouth,He gots a pretty big mouth� like a frog mouth,He gots a pretty big mouth like a frog mouf,He gots a pretty big mouf�  like a frog mouf,CD16-s.wav,,CD16-v.wav,x,,gots,TH,,,,,Alex_They_have_a_pretty_big_mouth_like_a_frog_mouth,"start=""sp1:start"" end=""sp1:start+4.2""/><face type='FACS' au='4' amount='.4' stroke='sp1:start+.0' end='sp1:start+2.5'/><face type='FACS' au='45' amount='.4' stroke='sp1:start+.0' end='sp1:start+2.5'","start=""sp1:start"" end=""sp1:start+3.9""/><face type='FACS' au='4' amount='.4' stroke='sp1:start+.0' end='sp1:start+2.5'/><face type='FACS' au='45' amount='.4' stroke='sp1:start+.0' end='sp1:start+2.5'",,,,,,,,,,
CD17,He has long arms and short legs like a gorilla,He got long arm and short leg� like� a gorilla,He got long arm and short leg like a gorilla,He got long arm and short leg � like a gorilla,CD17-s.wav,,CD17-v.wav,x,,got; plural; plural,,,,,,Alex_they_have_long_arms_and_short_legs_like_a_gorilla,"start=""sp1:start"" end=""sp1:start+5.7""","start=""sp1:start"" end=""sp1:start+5.5""",,,,,,,,,,
CD18,He has that  stripe in his eye,He got that stripe in his eye,he got that stripe in his eye,He got that � stripe in his eye,CD18-s.wav,,CD18-v.wav,SF,,got,,,,,,CD18v,"start=""sp1:start"" end=""sp1:start+2.7""/><face type='FACS' au='4' amount='.3' stroke='sp1:start+.1' end='sp1:start+1'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+.1' end='sp1:start+1'",/><face type='FACS' au='4' amount='.3' stroke='sp1:start+.1' end='sp1:start+1'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+.1' end='sp1:start+1',,,,,,,,,,
CD19,He looks like a mix of monkeys and deer and maybe like a frog too,He look like a mix of monkey and deers and maybe like a frog too,He look like a mix of monkey and deers and maybe like a frog too,He look like a mix of monkey and deers and maybe like a frog too,CD19-s.wav,,CD19-v.wav,SF,,verbalS; ,,,,,,Alex_They_look_like_a_mix_of_monkeys_and_deers_and_maybe_like_a_frog_too,"start=""sp1:start"" stroke=""sp1:start+3.5"" end=""sp1:start+7""/><face type='FACS' au='4' amount='.4' stroke='sp1:start+3' end='sp1:start+4.4'/><face type='FACS' au='45' amount='.4' stroke='sp1:start+3' end='sp1:start+4.4'/><face type='FACS' au='2' amount='.2' stroke='sp1:start+5.7' end='sp1:start+6.25'","start=""sp1:start"" stroke=""sp1:start+2.9"" end=""sp1:start+6.9""/><face type='FACS' au='4' amount='.4' stroke='sp1:start+3' end='sp1:start+4.4'/><face type='FACS' au='45' amount='.4' stroke='sp1:start+3' end='sp1:start+4.4'/><face type='FACS' au='2' amount='.2' stroke='sp1:start+5.8' end='sp1:start+6.35'",,,,,,,,,,
CD20,He looks like he's a good climber,He look like he be a good climber,He look like he be a good climber,He look like he be a good climber,CD20-s.wav,,CD20-v.wav,SF,,verbalS; be,,,,,,Alex_They_look_like_they_could_be_good_climbers,"start=""sp1:start"" end=""sp1:start+2.3""/><face type='FACS' au='2' amount='.3' stroke='sp1:start+1' end='sp1:start+1.6'","start=""sp1:start"" end=""sp1:start+2.3""/><face type='FACS' au='2' amount='.3' stroke='sp1:start+1' end='sp1:start+1.6'",,,,,,,,,,
CD21,He looks like he has monkey feet so he could probly like he could use them to climb,He look like he have monkey feet so he could prolly use them to climb,He look like he have monkey feet so he could prolly use them to climb,He look like he have monkey feet so he could prolly use dem to climb,CD21-s.wav,,CD21-v.wav,SF,,verbalS; have; verbalS,,,,,,Alex_They_have_like_monkey_feet_so_they_look_like_they_could_use_them_to_climb,"start=""sp1:start"" end=""sp1:start+6.1""/><face type='FACS' au='4' amount='.4' stroke='sp1:start+.0' end='sp1:start+1.9'/><face type='FACS' au='45' amount='.25' stroke='sp1:start+.0' end='sp1:start+1.9'/><face type='FACS' au='2' amount='.3' stroke='sp1:start+4.9' end='sp1:start+5.5'","start=""sp1:start"" end=""sp1:start+5.9""/><face type='FACS' au='4' amount='.4' stroke='sp1:start+.0' end='sp1:start+1.9'/><face type='FACS' au='45' amount='.25' stroke='sp1:start+.0' end='sp1:start+1.9'/><face type='FACS' au='2' amount='.3' stroke='sp1:start+4.9' end='sp1:start+5.6'",,,,,,,,,,
CD22,"He probly eats grass and leaves and tree- well not trees, but like the leaves off them",He prolly eat grass and leaves and tree well not trees  but like the leaves off them,He prolly eat grass and leaves and tree well not trees  but like the leaves off them,"He prolly eat grass and leaves and tree- well not trees, but like de leaves off dem",CD22-s.wav,,CD22-v.wav,SF,,verbalS,prolly; TH,,,,,Alex_They_probably_eat_grass_and_leaves_and_tree_well_not_trees_but_like_the_leaves_off_them,"start=""sp1:start"" end=""sp1:start+7.6""/><face type='FACS' au='45' amount='1' stroke='sp1:start+3.9' end='sp1:start+5'/><face type='FACS' au='4' amount='.25' stroke='sp1:start+3.9' end='sp1:start+5'/><face type='FACS' au='2' amount='.4' stroke='sp1:start+5.9' end='sp1:start+6.9'","start=""sp1:start"" end=""sp1:start+6.65""/><face type='FACS' au='45' amount='1' stroke='sp1:start+3.4' end='sp1:start+4.1'/><face type='FACS' au='4' amount='.25' stroke='sp1:start+3.4' end='sp1:start+4.1'/><face type='FACS' au='2' amount='.4' stroke='sp1:start+5.1' end='sp1:start+5.9'",,,,,,,,,,
CD23,"He probly needs to use the spikes on his back to, ya know, stay alive somehow",He prolly need to use the spike on his back to ya know stay alive somehow,He prolly need to use the spike on his back to ya know stay alive somehow,"He prolly need to use de spike on his back to, ya know, stay alive somehow�",CD23-s.wav,,CD23-v.wav,SF,,verbalS; pluralS,prolly,,,,,Alex_Um_it_probably_needs_to_use_the_spikes_on_its_back_to_ya_know_stay_alive_somehow,"start=""sp1:start"" end=""sp1:start+5.7""/><face type='FACS' au='4' amount='0.4' stroke='sp1:start+.2' end='sp1:start+.8'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+.2' end='sp1:start+.8'/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+3.7' end='sp1:start+4.8'","start=""sp1:start"" end=""sp1:start+5.85""/><face type='FACS' au='4' amount='0.4' stroke='sp1:start+.2' end='sp1:start+.8'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+.2' end='sp1:start+.8'/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+3.9' end='sp1:start+5'",,,,,,,,,,
CD24,He's all by himself,He all by his self,He all by his self,He all by hisself,CD24-s.wav,,CD24-v.wav,SF,,be; hisself,,,,,,CD24v,"start=""sp1:start"" end=""sp1:start+1.62""/><face type='FACS' au='4' amount='0.4' stroke='sp1:start+.2' end='sp1:start+1'/><face type='FACS' au='45' amount='0.15' stroke='sp1:start+.2' end='sp1:start+1'",/><face type='FACS' au='4' amount='0.4' stroke='sp1:start+.2' end='sp1:start+1'/><face type='FACS' au='45' amount='0.15' stroke='sp1:start+.2' end='sp1:start+1',,,,,,,,,,
CD25,He's got his arms all spread out like he's sneaking around,He got his arms all spread out like... he sneaking around,He got his arms all spread out like he sneaking around,He got his arms all spread out like he sneakin' aroun',CD25-s.wav,,CD25-v.wav,x,,copula; copula ,NG; TD,,,,,Alex_Theyve_got_their_arms_all_spread_out_like_theyre_sneaking_around,"start=""sp1:start"" end=""sp1:start+6.6""/><face type='FACS' au='45' amount='0.5' stroke='sp1:start+4.5' end='sp1:start+5.5'/><face type='FACS' au='4' amount='.4' stroke='sp1:start+4.5' end='sp1:start+5.5'","start=""sp1:start"" end=""sp1:start+6.6""/><face type='FACS' au='45' amount='0.5' stroke='sp1:start+4.6' end='sp1:start+5.8'/><face type='FACS' au='4' amount='.4' stroke='sp1:start+4.6' end='sp1:start+5.8'",,,,,,,,,,
CD26,"His eyes have like a stripe,  like a cat",His eyes got like a stripe like a cat,His eyes got like a stripe like a cat,"His eyes got like a stripe, � like a cat",CD26-s.wav,,CD26-v.wav,SF,n,,,,,,,Alex_Their_eyes_have_like_a_stripe_like_a_cat,"start=""sp1:start"" stroke=""sp1:start+1.6"" end=""sp1:start+5""/><face type='FACS' au='4' amount='.3' stroke='sp1:start+0' end='sp1:start+1.3'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+0' end='sp1:start+1.3'/><face type='FACS' au='2' amount='.25' stroke='sp1:start+3.4' end='sp1:start+4'","start=""sp1:start"" end=""sp1:start+4.2""/><face type='FACS' au='4' amount='.3' stroke='sp1:start+0' end='sp1:start+1.3'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+0' end='sp1:start+1.3'/><face type='FACS' au='2' amount='.25' stroke='sp1:start+3.3' end='sp1:start+4'",,,,,,,,,,
CD27,"His feet look like they could grab things, maybe to like",His feet look like they could grab things maybe to like,His feet look like they could grab things maybe to like,"His feet look like dey could grab fings, maybe to like�",CD27-s.wav,,CD27-v.wav,SF,n,,,,,,,Alex_their_feet_look_like_they_could_grab_things_maybe_to_like,"start=""sp1:start"" end=""sp1:start+6.5""/><face type='FACS' au='2' amount='.3' stroke='sp1:start+1.5' end='sp1:start+3' /><face type='FACS' au='4' amount='.3' stroke='sp1:start+3.5' end='sp1:start+5.4' /><face type='FACS' au='45' amount='.3' stroke='sp1:start+3.5' end='sp1:start+5.4' ","start=""sp1:start"" end=""sp1:start+6.8""/><face type='FACS' au='2' amount='.3' stroke='sp1:start+1.1' end='sp1:start+3' /><face type='FACS' au='4' amount='.3' stroke='sp1:start+3.5' end='sp1:start+5.4' /><face type='FACS' au='45' amount='.3' stroke='sp1:start+3.5' end='sp1:start+5.4'",,,,,,,,,,
CD28,His horns look like they can be used for,His horns look like they can be used for�,His horns look like they can be used for,His horns look like they can be use' for�,CD28-s.wav,,CD28-v.wav,x,n,,,,,,,Alex_Their_horns_look_like_they_can_be_used_for,"start=""sp1:start"" end=""sp1:start+5.3""/><face type='FACS' au='4' amount='0.4' stroke='sp1:start+4.2' end='sp1:start+5.1'/><face type='FACS' au='45' amount='0.5' stroke='sp1:start+3' end='sp1:start+5.1'","start=""sp1:start"" end=""sp1:start+6""/><face type='FACS' au='4' amount='0.4' stroke='sp1:start+3' end='sp1:start+5.9'/><face type='FACS' au='45' amount='0.5' stroke='sp1:start+3' end='sp1:start+5.9'",,,,,,,,,,
CD29,"His horns uh, antlers, aren't sharp so maybe he doesn't um can't hunt with them",His horns uh antlers ain't sharp so maybe he don't um can't hunt with them,His horns uh antlers ain't sharp so maybe he don't um can't hunt with them,"His horns... uh, antlers, ain't sharp so... maybe he don't, um... can't hunt with them",CD29-s.wav,,CD29-v.wav,x,,ain't; don't,TH,,,,,Alex_the_horns_uhh_antlers_dont_look_sharp_so_maybe_they_dont_umm_cant_hunt_with_them,"start=""sp1:start"" stroke=""sp1:start+3.0"" end=""sp1:start+10""/><face type='FACS' au='45' amount='1' stroke='sp1:start+7.8' end='sp1:start+8.4'/><face type='FACS' au='4' amount='.3' stroke='sp1:start+7.8' end='sp1:start+8.4'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+5.2' end='sp1:start+6.3'/><face type='FACS' au='2' amount='.3' stroke='sp1:start+1.5' end='sp1:start+2.4'","start=""sp1:start"" end=""sp1:start+8.1""/><face type='FACS' au='45' amount='1' stroke='sp1:start+6.40' end='sp1:start+6.9'/><face type='FACS' au='4' amount='.3' stroke='sp1:start+4.7' end='sp1:start+6.5'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+4.7' end='sp1:start+6.4'/><face type='FACS' au='2' amount='.3' stroke='sp1:start+2.3' end='sp1:start+2.9'",,,,,,,,,,
CD30,How could he even use those spikes to attack animals anyway?,How could he even use those spikes to attack other animals?,How could he even use those spikes to attack ovher animals?,How could he e'en use dhose spikes to attack ovher animals?,CD30-s.wav,,CD30-v.wav,x,n,,,,,,,CD30v,"start=""sp1:start"" end=""sp1:start+4.2""/><face type='FACS' au='45' amount='0.3' stroke='sp1:start+.1' end='sp1:start+.8'/><face type='FACS' au='4' amount='0.4' stroke='sp1:start+.1' end='sp1:start+.8'/><face type='FACS' au='45' amount='0.3' stroke='sp1:start+2.5' end='sp1:start+3.5'/><face type='FACS' au='4' amount='0.4' stroke='sp1:start+2.5' end='sp1:start+3.5'","start=""sp1:start"" end=""sp1:start+4.1""/><face type='FACS' au='45' amount='0.3' stroke='sp1:start+.1' end='sp1:start+.8'/><face type='FACS' au='4' amount='0.4' stroke='sp1:start+.1' end='sp1:start+.8'/><face type='FACS' au='45' amount='0.3' stroke='sp1:start+2.5' end='sp1:start+3.5'/><face type='FACS' au='4' amount='0.4' stroke='sp1:start+2.5' end='sp1:start+3.5'",,,,,,,,,,
CD31,"How do you think he sees at night, like when it's dark?","How you think he see at night, like when it's dark?",How you fink he see at night like when it's dark?,"How you fink he see at night, like when i'ss dark?",CD31-s.wav,,CD31-v.wav,x,,verbalS,it's,,,,,Alex_I_cant_figure_out_how_they_see_at_night_if_its_dark,"start=""sp1:start"" end=""sp1:start+3.6""/><face type='FACS' au='45' amount='.3' stroke='sp1:start+.2' end='sp1:start+1'/><face type='FACS' au='4' amount='.3' stroke='sp1:start+.2' end='sp1:start+1'","start=""sp1:start"" end=""sp1:start+3.5""/><face type='FACS' au='45' amount='.3' stroke='sp1:start+.2' end='sp1:start+1'/><face type='FACS' au='4' amount='.3' stroke='sp1:start+.2' end='sp1:start+1'",,,,,,,,,,
CD32,"I don't see any houses or, um, nests for him",I don't see no houses or um... nests for him,I don't see no houses or um nests for him,"I don't see no houses or, um, ness' for 'im",CD32-s.wav,,CD32-v.wav,x,,doubleNeg; doublePlural,im,,,,,CD32v,"start=""sp1:start"" end=""sp1:start+4.2""/><face type='FACS' au='45' amount='.3' stroke='sp1:start+.2' end='sp1:start+2'/><face type='FACS' au='4' amount='.3' stroke='sp1:start+.2' end='sp1:start+2'/><face type='FACS' au='2' amount='.15' stroke='sp1:start+2.5' end='sp1:start+2.9'",/><face type='FACS' au='45' amount='.3' stroke='sp1:start+.2' end='sp1:start+2'/><face type='FACS' au='4' amount='.3' stroke='sp1:start+.2' end='sp1:start+2'/><face type='FACS' au='2' amount='.15' stroke='sp1:start+2.5' end='sp1:start+2.9',,,,,,,,,,
CD33,I don't think he can headbutt anything with his horns because they're too far apart,I don't think he can headbutt nothing with his horns cuz... they too far apart,I don't fink he kin head butt nothing wit his horns cuz they too far apart,I don't fink he kin headbutt nuffin wit his horns cuz... dhey too far apart,CD33-s.wav,,CD33-v.wav,x,,doubleNeg; plural; copula,kin; TH; TH; cuz,,,,,Alex_They_cant_headbutt_something_with_their_horns_because_theyre_too_far_apart,"start=""sp1:start"" end=""sp1:start+6.1""/><face type='FACS' au='4' amount='.4' stroke='sp1:start+0' end='sp1:start+.6'/><face type='FACS' au='45' amount='1' stroke='sp1:start+0' end='sp1:start+.6'/><face type='FACS' au='2' amount='.25' stroke='sp1:start+3.1' end='sp1:start+4.2'","start=""sp1:start"" end=""sp1:start+6""/><face type='FACS' au='4' amount='.4' stroke='sp1:start+0' end='sp1:start+.6'/><face type='FACS' au='45' amount='1' stroke='sp1:start+0' end='sp1:start+.6'/><face type='FACS' au='2' amount='.25' stroke='sp1:start+3.1' end='sp1:start+4.2'",,,,,,,,,,
