ID,English,Chinese,Phonetic Chinese,Recording Number,,Gesture,args,aae_args
CD26,"His eyes have like a stripe,  like a cat",???????????,"ta de tong kong hen shee-i, shee-iang mao yi yang",157,,,,
CD27,"His feet look like they could grab things, maybe to like",??????????????????.,ta de jiao kan shang chee-u shee-iang shi neng zhua zhu dong shee-i yi yangye shee-uuu,158,,,,
CD28,His horns look like they can be used for,?????????.,ta de jiao kan shang chee-u shi yong lai,159,,,,
CD29,"His horns uh, antlers, aren't sharp so maybe he doesn't um can't hunt with them",???.?????????.??????????????,ta de jiaonu shi hen feng li suo yi ye shee-uuuta bu.ta bu neng gou yong ta muhn lai da lie,160,,,,
CD30,How could he even use those spikes to attack animals anyway?,????????????????????,ta you zen muh neng gou yong na shee-ie ci lai gong gee chee-i ta de dong wu na? ,161,,,,
CD31,"How do you think he sees at night, like when it's dark?",??????????????,ni jue de ta wan shang zen muh neng gou kan de dao? ,162,,,,
CD32,"I don't see any houses or, um, nests for him",????????????????.?,wo muhi you kan jian zhe li you ta zhu de fang zi huo zhe en wo ,163,,,,
CD33,I don't think he can headbutt anything with his horns because they're too far apart,??????????????????????????????,"wo bu jue de ta ke yi yong ta de jiao chee-u zhuang chee-i ta de dong shee-i, yin wei ta muhn shee-iang ge ta yuan le",164,,,,
CD34,I don't think he can run very fast because his legs are so short,????????????????????,"wo bu jue de ta ke yi pao de hen kuai, yin wei ta de tui tai duan le",165,,,,
CD35,I don't think he looks fast enough to hunt the bunnies,??????????????????,ta kan shang chee-u bu shee-iang pao de kuai dao ke yi zhua tu zi de yang zi,166,,,,
CD36,"I don't think he looks like a good swimmer because he doesn't have any fins or, um, gills or anything",?????????????????????,"ta kan shang chee-u you de hen man, yin wei ta muhi you chee-i.huo sai",167,,,,
CD37,I don't think he looks like a meat-eater because he doesn't have any sharp claws or anything,?????????????????????????????,"ta kan shang chee-u bu shi ge ro shee-i dong wu, yin wei ta muhi you feng li de zhua zi huo lei si de dong shee-i. ",168,,,,
CD38,I don't think he looks pointy enough to attack really big animals,???????????????????????,wo jue de ta kan shang chee-u bu gou jian rue dao neng gou gong gee chee-i ta da shee-ing dong wu ,169,,,,
CD39,I think he probly uses his neck to stick his head into holes and look for food,???????????????,wo shee-iang ta ke neng ba bo zi shen dao dong li zhou shee-i wu,170,,,,
CD40,I think he could also climb up into the trees so he could reach like other fruit that grows there,?????????????????,wo jue de ta ye ke yi pa dao shu shang zai shang mian de shui guo,171,,,,
CD41,"I think he probly doesn't eat bunnies because he doesn't, I don't think he looks like a meat eater",?????????????????????????,wo shee-iang ta da gai bu chi tu zi yin wei ta buwo jue de ta bu shee-iang ro shee-i dong wu,172,,,,
CD42,I think he probably mostly eats plants because he looks like he has good fingers for picking things up,"??????????,???????????????","wo shee-iang ta ke neng zhu you chi zhi wu, yin wei ta de shou zhi jian dong shee-i hen rong yi ",173,,,,
CD43,"I think the palm of his hand it helps him to like walk better, like to grab on to things tighter",?????????????????????????????,wo jue de ta de shou zhang bang zhu ta geng rong yi zou lubi ru shuo zhua dong shee-i shi jin yi shee-ie  ,174,,,,
CD44,"I think with cats, that stripe helps them see at night.",???????????????????????????????,"wo jue deshee-iang mao de tong kong ye shi tiao wen zhuang de, zhe yang neng bang zhu ta muhn wan shang geng hao kan dao dong shee-i. ",175,,,,
CD45,"I wonder how he finds the worms, like if the worms are underground",??????????????????????,"wo hen hao chee-i, ru guo chong zi zai di di shee-ia, ta you zen muh zhou dao ne? ",176,,,,
CD46,I wonder how he gets away from predators,????????????????????,"wo zai shee-iang, ta yao zen muh tao li na shee-ie zhui bu ta de dong wu ne? ",177,,,,
CD47,I wonder how he drinks if there's no water around,?????????????????,"ru guo zhou wei muhi you shui, ta zen muh neng he dao shui ne? ",178,,,,
CD48,I wonder if he can go into the trees to grab more worms,???????????????????,wo zai shee-iang ta ke bu ke yi pa dao shu shang zhua geng duo de chong zi ,179,,,,
CD49,I wonder if he hunts better like alone or in a group,??????????????????????,ni shuo ta shi zi ji chee-u da lie hai shi he ta de tong ban muhn yi chee-i da lie ,180,,,,
CD50,I wonder if he like runs to be able to chase things faster,??????????????????,shee-o shee-iang ta pao bu shi bu shi wei le neng kuai diang zhui shang dong shee-i. ,181,,,,
CD51,I wonder if the spikes on his back are used to like hear or smell predators or anything like that,?????????????????????????,wo shee-iang ta bei shang de ci shi bu shi wei le neng ting dao huo wen dao pu shi zhe shen muh de,182,,,,
CD52,"If he eats meat, he can probably only eat like really slow animals","?????,???????????????","ru guo ta chi ro, ta ke neng zhi chienhen man de dong wu",183,,,,
CD53,"If he were in a group, he'd probably be even safer from predators","???????,?????","ru guo ta cheng chee-un sheng guo, ta gui geng an chee-uan ",184,,,,
CD54,If predators started chasing him maybe he could get away by,?????????? ??????,"ru guo pu shi zhe kai shi zhui ta, ta ye shee-uuu neng tao pao",185,,,,
CD55,"If he used all four feet to walk like a tiger, I think he could probly run faster","??????????????, ???????????","ru guo ta shee-iang lao hu yi yang yong si zhi jiao zou lu, wo shee-iang ta ke neng ke yi pao de geng kuai ",186,,,,
CD56,"In the dark, he could probly be sneaky",?????????????????,"tian hei shi, ta ke neng tou tou mo mo de zuo shee-ie shen muh ",187,,,,
CD57,It looks like maybe he also eats,??????????,kan shang chee-u ta ye u ye chi dong shee-i ,188,,,,
CD58,Maybe he can climb up the tree and sleep in the branches,"????????,????????",ye shee-uuu ta ke yi pa shang shu ran hou zai shu zhi shang shui jiao ,189,,,,
CD59,Maybe he can eat bunnies ,??????,ye shee-uuu ta chi tu zi ,190,,,,
CD60,Maybe he can feel vibrations with his spikes like whiskers,??????????????????????,ye shee-uuu ta de ci ke yi shee-iang chee-i ta dong wu de hu shee-uuu yi yang gan jue dao zhen dong,191,,,,
CD61,"Maybe he can like drink from the leaves, like when it rains",?????????????????,"shee-ia yu shi, ye shee-uuu ta hui he ji lei zai ye zi li de shui",192,,,,
CD62,Maybe he can like go around mostly at night so he  can like camouflage in the dark,"??????????????,???????????","ye shee-uuu da duo shu shi hou ta hui zai wang shang zou lu, zhe yang ta jiu ke yi cang zai hei an zhong. ",193,,,,
CD63,Maybe he can see in the dark,?????????????,ye shee-uuu ta zai hei an li ke yi kan dao dong shee-i ,194,,,,
CD64,Maybe he could fall down out of the trees on his spikes to catch other animals,??????????? ??????????,"ye shee-uuu ta hui cong shu shang diao shee-ia lai, yong ta de ci zhua chee-i ta de dong wu ",195,,,,
CD65,Maybe he hibernates in the winter,????????????,ye shee-uuu ta zai dong tian de shi hou hui dong mian,196,,,,
CD66,Maybe he hides in the trees?,???????,ye shee-uuu ta cang zai shu li,197,,,,
CD67,Maybe he only stands up really straight when he's checking for predators like a Meerkat,?????????????????????????????????????,"huo shee-uuu ta zhi you zai guan cha zhou wei you muhi shen muh chee-i ta de pu shi zhe shi hui zhan de te bie zhi, shee-iang yi zhi mao you yi yang",198,,,,
CD68,Maybe he sleeps underground,?????????,ye shee-uuu ta zai di li mian shui jiao,199,,,,
CD69,Maybe he's attacked by creatures that are even bigger even spikier,??????????????????,"ye shee-uuu bi ta geng da, you geng duo ci de dong wu hui gong gee ta",200,,,,
CD70,Maybe if his fingers are sticky he can use them too,???????????????????????,"ru guo ta de shou zhi you nian shee-ing, ta ye ke yi yong ta muhn chee-u pu shi zhi lei de",201,,,,
CD71,Maybe it's good to only move on two feet because then he can use his hands,"?????????, ?????????????????","ye shee-uuuuu ta zhi yong hou tui zou lu, yin wei ta zhe yang  ke yi yong ta de shou zuo chee-i ta de shi chee-ing",202,,,,
CD72,"Maybe like his eyes are red so that he looks scarier in the night time, like to scare predators",??????????????????????????????,"ta de yan chee-ing shi hong se de suo yi wan shang ta kan chee-i lai geng ke pa, ke yi shee-ia hu ta de pu shi zhe",203,,,,
CD73,Maybe the spikes stop the predators from running into him?,???????????????,ye shee-uuu ta de ci neng gou fang zhi pu shi zhe zhuang dao ta,204,,,,
CD74,Maybe this creature is the one that gets the food and he brings it back to the others?,???????????????????????,ye shee-uuu zhe zhi dong wu hui chee-u zhao shee-i wu ran hou gei ta de tong ban muhn dai hui chee-u? ,205,,,,
CD75,Maybe when animals come he can jump out of the trees and scare them,?????????????????????????,"ye shee-uuu chee-i ta dong wu guo lai de shi hou, ta ke yi cong shu li tiao chee-u lai shee-ia hu ta muhn",206,,,,
CD76,Some animals only eat plants I think if they're not able to catch other animals,????????????????????????,"wo jue de ru guo yi zhi dong wu zhua bu dao bie de dong wu, ta jiu zhi chi zhi wu",207,,,,
CD77,Some animals use spikes to like feel around,???????????????,yi shee-ie dong wu yong ta muhn de ci chee-udao chu mo ,208,,,,
CD78,Some other animals mostly go out at night to protect themselves,????????????????????????????,"yi shee-ie chee-i ta de dong wu wei le geng hao de bao hu zi ji, da duo hui zai wan shang de shi hou huo dong",209,,,,
CD79,"The spikes on his back look like almost like a porcupine, but not as sharp","?????????????,???????","ta bei shang de ci kan chee-i lai shee-iang hao zhu de ci, dan muhi you na muh feng li ",210,,,,
CD80,The stripe in his eye I think can help him see at night like in the dark,?????????????????,wo jue de ta de tong kong ke yi bang zhu ta wan shang kan dong shee-i ,211,,,,
CD81,There isn't any water around so he probably doesn't swim,"?????,?????????","zhou wei muhi you shui, suo yi ta da gai bu hui you yong",212,,,,
CD82,He has um feet that look like they grip things which can make him good at um,???????????????????????????????,ta deen.jiao kan chee-i lai wo dong shee-i hen yiken yi rang ta geng hao chee-u,213,,,,
CD83,He kinda looks like a mishee- of monkeys and,???????????? ??????????,ta kan chee-i lai you dian shee-iang yi ge hun he tiyou dian shee-iang hou zihe,214,,,,
CD84,"We talked about animals in school before, but not ones that looked like this","??????????????,?????????","zhi chee-ian wo muhn zai shee-uuue shee-iang jiang guo bu tong de dong wu, dan muhi you zhang de shee-iang zhe yang de",215,,,,
CD85,What do you think attacks him?,????????????,ni jue de shen muh dong shee-i hui gong gee ta? ,216,,,,
CD86,What do you think those spikes are for?,?????????????,ni jue de zhe shee-ie ci shi zuo shen muh yong de? ,217,,,,
CD87,What if he cant catch the bunnies?,??????????,ru guo ta zhua bu dao tu zi ne? ,218,,,,
CD88,"What if he goes around mostly at night so he can um, camouflage?",???????????????????????????????,"ru guo ta da duo shu zai wang shang huo dong, suo yi ta ke yiengeng hao de yin cang zi ji ne? ",219,,,,
CD89,"What if he isn't sharp enough to protect himself from the bigger or, um, spikier animals?",???????????????????????????,"ru guo ta de ci bu gou feng li, bu neng zai shou dao geng da de wei shee-ie shi bao hu zi ji ne? ",220,,,,
CD90,What if he like uses his horns to dig out food from the ground?,??????????????????,ru guo tayong ta de jiao cong di li wa shi wu ne? ,221,,,,
CD91,What if he runs out of all of the worms?,?????????????,ru guo ta muhi you chong zi ke yi chi le ne? ,222,,,,
CD92,What if he's able to just get the bunnies when they're sleeping?,????????????????,ru guo ta zhi neng zai tu zi shui jiao shi zhua ta muhn ne? ,223,,,,
CD93,What if his spikes are too small to be dangerous?,??????????????????,"ru guo ta de ci tai shee-iao le, bu zu yi gou cheng wei shee-ie ne? ",224,,,,
CD94,What if the bunnies are too fast for him to catch?,?????????????,"ru guo tu zi tai kuai, ta zhua bu dao ne? ",225,,,,
CD95,What sortsa food do you think he can eat?,?????????????,ni jue de ta neng chi shen muh yang de shi wu? ,226,,,,
CD96,Where do you think he sleeps?,??????????,ni jue de ta zai na er shui jiao? ,227,,,,
CD97,Why do you think he has that stripe in his eye?,????????????????,ni jue de wei shen muh ta de tong kong shi tiao zhuang de ne? ,228,,,,
CD98,Yeah he's pretty weird,?? ????,"en, ta ting guai de ",229,,,,
CD99,Yeah like apples,?????,"dui, shee-iang ping guo",230,,,,
CD100,Yeah like bears,????,"dui, shee-iang shee-iong",231,,,,
CD101,Yeah like geckos,?????,"dui, shee-iang shee-i yi",232,,,,
CD102,Yeah like leaves,?????,"dui, shee-iang ye zi ",233,,,,
CD103,Yeah like monkeys,?????,"dui, shee-iang hou zi",234,,,,
CD104,Yeah like really big animals,????????,"dui, shee-iang hen da de dong wu ",235,,,,
CD105,Yeah like worms and mushrooms,????????,"dui, shee-iang chong zi he mo gu",236,,,,
CD106,Yeah or um bears lions,???????????,"dui, hou zheshee-iang? shee-i zi? ",237,,,,
CD107,Yeah to help him hunt,????????,"dui, yong lai bang ta pu lie ",238,,,,
CD108,Yeah to help him protect himself,??????????,"dui, yong lai pang ta bao hu zi ji",239,,,,
CD109,I think we need to figure out how the creature like eats and moves around and stuff,?????????????????????????,wo jue de wo muhn shee-uuu yao zhao chu ta shi zen yangchi he sheng huo he chee-i ta shen muh de,240,,,,
CD110,I think if they aren't able to catch other animals,????????????????,wo jue de ta yao shi zhua bu dao chee-i ta de dong wu,241,,,,
CD111,Some animals only eat plants,????????,you shee-ie dong wu zhi chi ti wu ,242,,,,
CD112,"Well, I think cats go out at night so they can hunt",??????????,wo jue de mao wan shang chu chee-u pu lie,243,,,,
CD113,"Like cats can use their whiskers to like, tell what's near them",???????????????????,mao ke yi yong ta muhn de hu shee-uuu chee-u liao jie ta muhn zhou wei de huan jing ,244,,,,
CD114,"The bunnies aren't even running away or anything, so they probly know he can't hurt them","???????????,???????????????","tu zi dou muhi you pao diao huo shen muh de, suo yi ta muhn da gai shi dao ta wu fa shang hai ta muhn",245,,,,
CD115,I think that makes it like safer from predators,?????????????????,wo jue de zhe rang ta.mian shou pu shi zhe de gong gee,246,,,,
CD116,"Well, I think monkeys sleep in trees ",????????????????,enwo jue de hou zi hao shee-iang shi shui zai shu shang de,247,,,,
CD117,"I think the bunnies are going to be too fast for the creature, even if he was running.","???,???????????????????","wo jue de, dui ta lai shui, ji shi ta zai pao, tu zi hai shi tai kuai le",248,,,,
CD118,"Maybe he could even use them to like, mark where he's been, so he doesn't get lost or anything","??????????,????????","ye shee-uuu ta yong ta muhn lao zuo ji hao, suo yi ta bu hui zhou diu",249,,,,
CD119,I think they can help him dig big holes so he can find any worms or food that be underground,?????????????????????????????????,"wo jue de ta muhn ke yi bang zhu ta wa hen da de dong, suo yi ta ke yi zhao dao mai zai di shee-ia de chong zi huo shi wu ",250,,,,
CD120,"Yeah, I don't think he looks really dangerous.",????????????????,enwo jue de ta kan shang chee-u bu shi hen wei shee-ian,251,,,,
